[14:53:14.612] |  	Driver         :  libusbK
[14:53:53.989] |  Total 39407 Transfer
[14:53:53.989] |  ISO-Packets (Total/Good/Bad) : 315264/9715/3
[14:53:54.997] |  Average 6.13 Mbps
[14:53:54.997] |  Total 40414 Transfer
[14:53:54.997] |  ISO-Packets (Total/Good/Bad) : 323320/9973/3
[14:53:54.997] |  waiting for Ep83h thread..
[14:53:54.998] |  stopped Ep0x83 thread 	ExitCode=0
[14:53:54.998] |  Isochronous Read Ep0x83 Maximum Packet Size: 3072
[14:53:54.998] |  	Total 30637056 Bytes
[14:53:54.998] |  	Total 40415 Transfers
[14:53:54.998] |  	Average 6.13 Mbps/sec
[14:53:54.998] |  	Elapsed Time 40.38 seconds
[14:53:54.998] |  
